"receptor"	"approved_receptor"	"receptor_esc"
"LT-beta"	"NF"	"LT-beta R "
"Mac-2"	"NF"	"Mac-2 (Galec­tin-3) "
"MAIR-II"	"NF"	"MAIR-II "
"MICA/"	"NF"	"MICA/ MICB "
"Ms"	"NF"	"Ms IgG1, kappa ITCL "
"Ms"	"NF"	"Ms IgG2a, kappa ITCL "
"Ms"	"NF"	"Ms IgG2b, kappa ITCL "
"Ms"	"NF"	"Ms IgG3, kappa ITCL "
"Ms"	"NF"	"Ms IgM, kappa ITCL "
"MSC"	"NF"	"MSC (W3D5) "
"MSC"	"NF"	"MSC (W5C5) "
"MSC"	"NF"	"MSC (W7C6) "
"MSC"	"NF"	"MSC and NPC (W4A5) "
"MSCA-1"	"NF"	"MSCA-1 (MSC) "
"NKp80"	"NF"	"NKp80 "
"Notch"	"NF"	"Notch 1 "
"Notch"	"NF"	"Notch 2 "
"Notch"	"NF"	"Notch 3 "
"Notch"	"NF"	"Notch 4 "
"NPC"	"NF"	"NPC (57D2) "
"Podopla-nin"	"NF"	"Podopla-nin "
"Pre-BCR"	"NF"	"Pre-BCR "
"PSMA"	"NF"	"PSMA "
"Rat"	"NF"	"Rat IgG1, kappa ITCL "
"Rat"	"NF"	"Rat IgG2a, kappa ITCL "
"Rat"	"NF"	"Rat IgG2b, kappa ITCL "
"Rat"	"NF"	"Rat IgM, kappa ITCL "
"Siglec-10"	"NF"	"Siglec-10 "
"Siglec-8"	"NF"	"Siglec-8 "
"Siglec-9"	"NF"	"Siglec-9 "
"SSEA-1"	"NF"	"SSEA-1 "
"SSEA-3"	"NF"	"SSEA-3 "
"SSEA-4"	"NF"	"SSEA-4 "
"SSEA-5"	"NF"	"SSEA-5 "
"TCR"	"NF"	"TCR g/d "
"TCR"	"NF"	"TCR Vg9 "
"TCR"	"NF"	"TCR Valpha24- Jalpha18 "
"TCR"	"NF"	"TCR Valpha7.2 "
"TCR"	"NF"	"TCR Vbeta13.2 "
"TCR"	"NF"	"TCR Vbeta23 "
"TCR"	"NF"	"TCR Vbeta8 "
"TCR"	"NF"	"TCR Vbeta9 "
"TCR"	"NF"	"TCR Vdelta2 "
"TCR"	"NF"	"TCR alpha/beta "
"Tim-1"	"NF"	"Tim-1 "
"Tim-3"	"NF"	"Tim-3 "
"Tim-4"	"NF"	"Tim-4 "
"TLT-2"	"NF"	"TLT-2 "
"TRA-1-60-R"	"NF"	"TRA-1-60-R "
"TRA-1-81"	"NF"	"TRA-1-81 "
"TSLPR"	"NF"	"TSLPR (TSLP-R) "
"beta2-micro-globulin"	"NF"	"beta2-micro-globulin "
"delta-Opioid"	"NF"	"delta-Opioid Receptor "
