Dataset,Pnumber,Cellline,Rawfile,Name
full proteome of 59 cell lines,P003358,SF-539,00463_D05_P003358_B00L_A00_R1.raw,SF-539 cell
full proteome of 59 cell lines,P003358,SF-539,00463_G04_P003358_B00G_A00_R1.raw,SF-539 cell
full proteome of 59 cell lines,P003359,RPMI 8226,00463_D03_P003359_B00H_A00_R1.raw,RPMI-8226 cell
full proteome of 59 cell lines,P003359,RPMI 8226,00463_G03_P003359_B00K_A00_R1.raw,RPMI-8226 cell
full proteome of 59 cell lines,P003359,RPMI 8226,00463_F02_P003359_B00B_A00_R1.raw,RPMI-8226 cell
full proteome of 59 cell lines,P003359,RPMI 8226,00463_A03_P003359_B00E_A00_R1.raw,RPMI-8226 cell
full proteome of 59 cell lines,P003359,RPMI 8226,00463_E03_P003359_B00I_A00_R1.raw,RPMI-8226 cell
full proteome of 59 cell lines,P003359,RPMI 8226,00463_F03_P003359_B00J_A00_R1.raw,RPMI-8226 cell
full proteome of 59 cell lines,P003359,RPMI 8226,00463_B03_P003359_B00F_A00_R1.raw,RPMI-8226 cell
full proteome of 59 cell lines,P003359,RPMI 8226,00463_C03_P003359_B00G_A00_R1.raw,RPMI-8226 cell
full proteome of 59 cell lines,P003359,RPMI 8226,00463_G02_P003359_B00C_A00_R1.raw,RPMI-8226 cell
full proteome of 59 cell lines,P003359,RPMI 8226,00463_E02_P003359_B00A_A00_R1.raw,RPMI-8226 cell
full proteome of 59 cell lines,P003359,RPMI 8226,00463_H02_P003359_B00D_A00_R1.raw,RPMI-8226 cell
full proteome of 59 cell lines,P003359,RPMI 8226,00463_H03_P003359_B00L_A00_R1.raw,RPMI-8226 cell
full proteome of 59 cell lines,P003360,SF-295,00463_H01_P003360_B00H_A00_R1.raw,SF-295 cell
full proteome of 59 cell lines,P003360,SF-295,00463_D02_P003360_B00L_A00_R1.raw,SF-295 cell
full proteome of 59 cell lines,P003360,SF-295,00463_D01_P003360_B00D_A00_R1.raw,SF-295 cell
full proteome of 59 cell lines,P003360,SF-295,00463_G01_P003360_B00G_A00_R1.raw,SF-295 cell
full proteome of 59 cell lines,P003360,SF-295,00463_C02_P003360_B00K_A00_R1.raw,SF-295 cell
full proteome of 59 cell lines,P003360,SF-295,00463_C01_P003360_B00C_A00_R1.raw,SF-295 cell
full proteome of 59 cell lines,P003360,SF-295,00463_E01_P003360_B00E_A00_R1.raw,SF-295 cell
full proteome of 59 cell lines,P003360,SF-295,00463_A01_P003360_B00A_A00_R2.raw,SF-295 cell
full proteome of 59 cell lines,P003360,SF-295,00463_B02_P003360_B00J_A00_R1.raw,SF-295 cell
full proteome of 59 cell lines,P003360,SF-295,00463_A02_P003360_B00I_A00_R1.raw,SF-295 cell
full proteome of 59 cell lines,P003360,SF-295,00463_B01_P003360_B00B_A00_R1.raw,SF-295 cell
full proteome of 59 cell lines,P003360,SF-295,00463_F01_P003360_B00F_A00_R1.raw,SF-295 cell
full proteome of 59 cell lines,P003361,MOLT-4,00463_H12_P003361_B00L_A00_R1.raw,MOLT-4 cell
full proteome of 59 cell lines,P003361,MOLT-4,00463_G12_P003361_B00K_A00_R1.raw,MOLT-4 cell
full proteome of 59 cell lines,P003361,MOLT-4,00463_D12_P003361_B00H_A00_R1.raw,MOLT-4 cell
full proteome of 59 cell lines,P003361,MOLT-4,00463_G11_P003361_B00C_A00_R1.raw,MOLT-4 cell
full proteome of 59 cell lines,P003361,MOLT-4,00463_H11_P003361_B00D_A00_R1.raw,MOLT-4 cell
full proteome of 59 cell lines,P003361,MOLT-4,00463_E11_P003361_B00A_A00_R1.raw,MOLT-4 cell
full proteome of 59 cell lines,P003361,MOLT-4,00463_E12_P003361_B00I_A00_R1.raw,MOLT-4 cell
full proteome of 59 cell lines,P003361,MOLT-4,00463_B12_P003361_B00F_A00_R1.raw,MOLT-4 cell
full proteome of 59 cell lines,P003361,MOLT-4,00463_A12_P003361_B00E_A00_R1.raw,MOLT-4 cell
full proteome of 59 cell lines,P003361,MOLT-4,00463_C12_P003361_B00G_A00_R1.raw,MOLT-4 cell
full proteome of 59 cell lines,P003361,MOLT-4,00463_F12_P003361_B00J_A00_R1.raw,MOLT-4 cell
full proteome of 59 cell lines,P003361,MOLT-4,00463_F11_P003361_B00B_A00_R1.raw,MOLT-4 cell
full proteome of 59 cell lines,P003362,MCF-7,00463_D10_P003362_B00D_A00_R1.raw,MCF-7 cell
full proteome of 59 cell lines,P003362,MCF-7,00463_F10_P003362_B00F_A00_R1.raw,MCF-7 cell
full proteome of 59 cell lines,P003362,MCF-7,00463_B10_P003362_B00B_A00_R1.raw,MCF-7 cell
full proteome of 59 cell lines,P003362,MCF-7,00463_C10_P003362_B00C_A00_R1.raw,MCF-7 cell
full proteome of 59 cell lines,P003362,MCF-7,00463_E10_P003362_B00E_A00_R1.raw,MCF-7 cell
full proteome of 59 cell lines,P003362,MCF-7,00463_A10_P003362_B00A_A00_R1.raw,MCF-7 cell
full proteome of 59 cell lines,P003362,MCF-7,00463_C11_P003362_B00K_A00_R1.raw,MCF-7 cell
full proteome of 59 cell lines,P003362,MCF-7,00463_G10_P003362_B00G_A00_R1.raw,MCF-7 cell
full proteome of 59 cell lines,P003362,MCF-7,00463_B11_P003362_B00J_A00_R1.raw,MCF-7 cell
full proteome of 59 cell lines,P003362,MCF-7,00463_H10_P003362_B00H_A00_R1.raw,MCF-7 cell
full proteome of 59 cell lines,P003362,MCF-7,00463_D11_P003362_B00L_A00_R1.raw,MCF-7 cell
full proteome of 59 cell lines,P003362,MCF-7,00463_A11_P003362_B00I_A00_R1.raw,MCF-7 cell
full proteome of 59 cell lines,P003363,OVCAR-5,00463_C09_P003363_B00G_A00_R1.raw,OVCAR-5 cell
