"LC.H522"	"CO.HCC2998"	"RE.SN12C"	"BR.HS578T"	"LE.K562"	"BR.BT549"	"LC.EKVX"	"LC.HOP62"	"ME.SKMEL28"	"BR.T47D"	"ME.MDAMB435"	"LE.SR"	"BR.MDAMB231"	"ME.LOXIMVI"	"CNS.SNB75"	"ME.M14"	"OV.ADRRES"	"CO.HT29"	"LC.H226"	"RE.RXF393"	"CNS.U251"	"ME.SKMEL5"	"OV.SKOV3"	"PR.DU145"	"OV.OVCAR3"	"OV.IGROV1"	"ME.SKMEL2"	"OV.OVCAR4"	"ME.UACC62"	"CO.COLO205"	"ME.UACC257"	"CNS.SNB19"	"RE.7860"	"LE.HL60"	"CO.SW620"	"LC.A549"	"RE.A498"	"LE.CCRFCEM"	"LC.H23"	"ME.MALME3M"	"RE.UO31"	"RE.TK10"	"LC.HOP92"	"CO.HCT116"	"LC.H322M"	"RE.ACHN"	"CO.HCT15"	"RE.CAKI1"	"CNS.SF539"	"LE.RPMI8226"	"CNS.SF295"	"LE.MOLT4"	"BR.MCF7"	"OV.OVCAR5"	"CNS.SF268"	"LC.H460"	"OV.OVCAR8"	"PR.PC3"	"CO.KM12"
"IPI00004397"	3230200	6663100	3149800	5837500	1658600	1686400	4093600	5176300	4611800	3500900	3899300	13372000	3173500	4229000	1399800	2425400	7462900	6512200	6270700	16889000	4263900	4491700	8608800	3469100	2973200	2573900	3503900	3608400	1825800	2418400	1970400	2450900	2582100	1011600	2698300	2092900	6793600	1376900	2078600	6507100	3828900	5205000	5690500	2908600	2654300	7087200	1570400	3886900	1482100	706580	5525700	2394500	3650900	6499100	3342500	4062200	5892500	3049300	1972300
"IPI00004534"	8982700	5356900	7797200	1390000	13841000	7547300	6301600	3206000	1800300	1321500	1719200	2191800	5706900	6747100	4516600	8623200	9456800	3140600	3602600	4867000	9857500	11235000	1719900	8730400	666520	2549000	10472000	2274100	11058000	6642900	6370900	1748100	5643500	3457200	17431000	12856000	4956300	14151000	7487900	7694900	8898600	7625700	3514600	8266200	3560600	13502000	11864000	1841800	132320	11543000	8370700	20579000	6226800	3132200	16543000	15887000	9846700	7124200	20430000
"IPI00004860"	6354400	4877100	3223400	3027100	3933000	3770500	4395300	5784900	10474000	6259200	14640000	1295800	5236000	5942900	2894500	272360	8741400	3668000	5775800	6181200	5096500	2964200	3174900	3575200	7659600	13616000	2999900	13703000	3876100	4563000	2938500	3773800	13513000	5102000	3725800	8204700	9451200	2243900	6270600	1067500	3632800	6778200	2446300	5499900	958570	4432700	5069600	7225100	3241200	4018900	6876200	3101300	5382700	214100	16476000	5463100	8813700	3082300	4108600
"IPI00004902"	16483000	19135000	16344000	10189000	15451000	10867000	3095900	1280400	5343700	16676000	12187000	26286000	5052300	8903200	6284000	16499000	11970000	21394000	22463000	10829000	13201000	18194000	20424000	9060300	18705000	11964000	14733000	37264000	21267000	27262000	27669000	32744000	11273000	9296000	24443000	45989000	12885000	9224700	11056000	16956000	12971000	12856000	24235000	10489000	17604000	7888100	21744000	16700000	22380000	18462000	32124000	331640	32877000	29850000	4836200	20107000	6594000	21507000	22180000
"IPI00004968"	4998400	2166700	2631500	1899500	2509400	1026800	631010	2979500	3544800	2801900	1797900	1165300	798380	4144400	2248100	2601200	3098500	3011900	2251300	679020	1895800	1222400	279120	814120	1729000	717400	1909300	3360800	2027700	2074000	1736000	1838400	2148800	4421100	1160200	398890	961910	2556000	1588000	1125800	1926100	2252700	2299400	1783200	5008600	519660	1238700	1996500	3026900	4625700	1892400	2991100	2613700	2926300	5629700	1926200	3139500	3661500	2183500
"IPI00005158"	11131000	13856000	22508000	3813400	11352000	19974000	4953800	8825700	46905000	5817000	22890000	39778000	8004900	9917500	8114800	6354700	10093000	5692100	20515000	6969100	9651900	12430000	21587000	8102300	11939000	12598000	16455000	14342000	21882000	4210300	23994000	21447000	3272700	19345000	3718400	8682700	15781000	3947200	279930	14953000	6676700	11726000	15106000	10085000	3179100	12850000	6366200	15916000	14963000	8765100	224710	12870000	9315000	15371000	4713100	14319000	8890600	27953000	8524700
"IPI00005202"	3175100	4866300	3324400	17799000	3605100	14273000	6822000	764880	823440	5135600	3540000	4483400	7195600	3451400	2975600	1574100	11825000	2792200	9783000	9535100	4577600	2306500	8496400	4079900	9533000	3023800	3575300	9921700	3084300	2207700	3660900	16569000	5215300	2136600	1026900	13450000	18564000	1498300	4529200	7222400	11330000	6838700	5936600	2817600	11735000	9007200	4453600	16609000	9026000	2466100	11960000	8474100	3666300	9445700	4066300	5100200	3886400	2992100	1340200
"IPI00005537"	3895400	3535100	3353600	2227600	2516300	1725400	3390900	5294500	727720	6006900	3951900	3092500	2526400	5570100	951960	593260	3300700	2059000	2807000	85755	2585400	4866300	7049200	2283000	4703700	4526900	3776100	16406000	2705600	1911600	2166000	5634500	550940	2404500	2307500	5605200	2497700	2028900	1959600	2481600	1345400	3198900	7767600	3058100	2815300	2620600	5386000	3801000	6098300	9871500	3819300	4479400	5963200	5919300	4713300	3988800	2672100	4926000	3568900
"IPI00005613"	6353000	2214700	1908700	5322800	9094200	8247200	9408000	21445000	11141000	2670000	5180700	6031900	3132900	7943100	1858300	1815500	3355500	2058700	3673200	9064700	5221100	2967300	5661000	3702000	2899400	2757800	2852100	3647900	3675000	3339600	4139400	2470900	2550900	5882200	6198100	5668000	2043500	7161300	4659500	2395600	2788100	3222700	2797200	3541400	4099300	5585600	5273000	4538200	7243900	5348600	7300000	288840	6659200	2935100	2029100	6856700	6218800	6769200	4462500
"IPI00005614"	65824000	78774000	35390000	61359000	13865000	19875000	34799000	51584000	83413000	3421100	28363000	103420000	66991000	1745900	27127000	58039000	29569000	45817000	21789000	97062000	27873000	83974000	86161000	20449000	32380000	79414000	52390000	30135000	68490000	86850000	89667000	28162000	38762000	11173000	29798000	62996000	63974000	88224000	37212000	67141000	39809000	96883000	52055000	23968000	38547000	72836000	59175000	69993000	20955000	36259000	27554000	131770000	21716000	65520000	74611000	65798000	31577000	66002000	32427000
