"LC.H522"	"CO.HCC2998"	"RE.SN12C"	"BR.HS578T"	"LE.K562"	"BR.BT549"	"LC.EKVX"	"LC.HOP62"	"ME.SKMEL28"	"BR.T47D"	"ME.MDAMB435"	"LE.SR"	"BR.MDAMB231"	"ME.LOXIMVI"	"CNS.SNB75"	"ME.M14"	"OV.ADRRES"	"CO.HT29"	"LC.H226"	"RE.RXF393"	"CNS.U251"	"ME.SKMEL5"	"OV.SKOV3"	"PR.DU145"	"OV.OVCAR3"	"OV.IGROV1"	"ME.SKMEL2"	"OV.OVCAR4"	"ME.UACC62"	"CO.COLO205"	"ME.UACC257"	"CNS.SNB19"	"RE.7860"	"LE.HL60"	"CO.SW620"	"LC.A549"	"RE.A498"	"LE.CCRFCEM"	"LC.H23"	"ME.MALME3M"	"RE.UO31"	"RE.TK10"	"LC.HOP92"	"CO.HCT116"	"LC.H322M"	"RE.ACHN"	"CO.HCT15"	"RE.CAKI1"	"CNS.SF539"	"LE.RPMI8226"	"CNS.SF295"	"LE.MOLT4"	"BR.MCF7"	"OV.OVCAR5"	"CNS.SF268"	"LC.H460"	"OV.OVCAR8"	"PR.PC3"	"CO.KM12"
"IPI00001636_NA"	5.94835916470638	6.24829212263032	6.1197835861617	6.07631268797686	6.23205539077659	5.54280053831011	5.9913545723952	6.23484616992136	6.31946001604689	6.04948937193356	6.00272747268983	5.70324837653618	6.23330077156347	4.8793195667295	6.15962734065867	6.02279940451169	6.03466855583424	5.97190641691416	5.70641904883377	6.31107540830008	5.96613234248656	5.93108138680637	5.83724111630047	6.24944296144258	6.04083959468534	5.54657967563518	6.1103202968403	6.10503305039359	6.10472604410997	5.66762103435315	6.14391993838584	6.00770511436478	6.46507040400967	6.16328067026191	6.26909245574043	5.91190299604403	6.07236020396349	6.59465768743	5.9148506834744	6.05511063785415	6.65072510000571	6.12791429437159	5.93752792179719	6.24533990269532	5.920326854131	6.37114177844618	6.3452952955793	6.1560036693904	5.97736230489501	5.43800409142181	6.19758376903578	6.80887237974411	5.95585124126824	6.34263977379444	6.10551018476997	6.02844924272351	6.40057252435931	6.28932133757147	6.20620501176327
"IPI00001639_KPNB1"	7.81517913013942	7.65602149864246	7.67244884777409	7.47765655454693	7.79659514554633	7.40929050064045	7.59688286630793	7.88047059280378	7.6814040672776	7.64709921662703	7.55796411355422	7.74067842522745	7.80176032995747	7.73129860145989	7.49803472368703	7.64655075364034	7.52858249904385	7.5410547788827	7.53121059345968	7.53660893899411	7.59896550202363	7.50634264897359	7.36314170969795	7.59409407758012	7.59905297321867	7.68180183910399	7.50567895244156	7.33984878303764	7.51353720843407	7.52416235813557	7.45859252897602	7.6200318951263	7.48495434742098	7.37010580543038	7.14952701375435	7.44169513564072	7.57751477777336	7.53810852826086	6.25430633233129	7.59792543256046	7.2375688701982	7.66758368853819	7.41512365466297	7.67156158910706	7.46535310423228	7.53318718415141	7.60260252042026	7.63865894807904	7.46992505668139	7.56199530056549	6.89951956447679	7.66083702983534	7.48535226124114	7.38008455401153	7.71312918075178	7.56875304534647	7.65837395276052	7.75373622217501	7.5211119205978
"IPI00002214_KPNA2"	6.69795256437881	6.19542914245706	6.74852137516072	6.13123359458968	6.73686640163262	6.34165211194353	6.71211070747562	7.14705767102836	6.76161214640365	6.7734353580729	6.49661141771717	6.32020862055824	6.74619812899155	6.91496690811049	6.38374357583531	6.53869937954241	6.55641106081832	6.39070554122637	6.24353410183206	6.27489644549936	6.59572763691383	6.62021936486887	5.90659360173448	6.61296389271954	6.63050923405147	6.48652965387153	6.77710043513858	6.49784153832666	6.22855433653901	6.08346678547389	6.40849436021236	6.75948653610841	7.13725913863677	6.68726134624351	6.65382010083823	6.56067164909284	6.10551018476997	6.55107165544198	6.61950029097066	6.27425024251621	6.26325722701407	6.63846928893321	6.42486530946394	6.80951931326942	5.5314022700764	6.51559570026845	6.78391072221534	6.4754387277371	6.48293072386039	6.77592340584268	6.9008093921081	6.50513640640528	6.6347693886	6.60563899039586	6.76580262155379	6.62464299825726	6.85573110264264	6.79949218137021	6.75876054390998
"IPI00002520_SHMT2"	7.08307241228453	6.9721611663336	7.24932067663763	7.30642502755069	7.19772152222686	7.31498314503912	6.64215773471423	7.07700432679335	7.42265548787245	7.35844883882021	7.43199062578614	7.62387959382151	7.31823033918782	7.65796366936635	6.79002465000047	7.08856131179122	7.13684734995745	7.25156522364463	7.41289714246845	6.98478376388625	7.28298444013395	7.36662838129297	7.12826999516963	7.20150636705324	7.49014115388969	7.02222210450771	7.04119523369681	7.1062249048968	7.4071698764837	7.17886188715687	7.22224811685893	7.24102321915914	7.26011911003137	7.25671774597749	7.40226138245468	6.8315050440635	7.33207471224769	7.1044188206476	7.07932598675282	7.40771374316226	7.33437331879921	7.28535474103037	7.33395080438725	7.25748657907388	7.22703784493023	7.61112826752018	7.30295831876463	7.39574562999217	7.24445030913543	6.37679587387972	7.31802157387019	7.4945719842302	7.27694408571298	7.29349514347202	6.71535977712448	7.50183946903895	7.23623486309056	7.31283295924934	7.45215458571466
"IPI00002966_HSPA4"	7.60491691738908	7.49211754866853	7.34918035899638	6.8742150128489	7.58986027707983	7.42383545851143	7.21603387781867	7.22404073862769	7.73508766422784	7.4223107250018	7.73017642416348	7.56816650957326	7.52744944431258	7.23842249588548	7.34505990561045	7.52163488349066	7.29848191251348	7.44196207008853	7.31657835154117	7.3537624030672	7.42871778320383	7.7380905284811	7.28476901334902	7.35233690648196	7.74760599276867	7.56963136640364	7.36914161269128	7.79750990232888	7.62128016755041	7.43939585934298	7.48788748823809	7.08596807704607	7.12185518216685	7.16536305069737	7.10431636451173	7.28325598733866	7.49395967455418	7.33569855149822	6.88338317047616	7.33649975914526	7.37834338357477	7.74089141715797	7.20650205758869	7.68635916176102	6.46802222649409	7.3430342104792	7.61797483604238	7.2931857067066	7.33553813244315	7.4355099196407	6.87895242962861	7.70119656061287	7.53583822986211	7.64759810777865	7.29804484260098	7.6915411940154	7.58013774504798	7.41757132869073	7.4011764421692
"IPI00003269_ACTBL2"	7.77209422944007	7.70851437812278	7.62388991904724	7.93922962641122	7.59178782864559	8.05728564441822	5.44490316279546	5.97715178890354	6.82232502491519	7.90495344968447	8.29468662427944	8.20354959675074	8.0640834359636	8.05891926071888	7.5716622561765	7.56511550981938	7.52668812388431	7.44238568786787	7.42411359546804	7.65605985202103	7.61030875336083	7.46326571943018	7.0213133654847	7.55202298612986	7.25520011665712	7.49952212934103	7.88155012511271	7.90186681286555	7.47171699397716	7.5287881917749	7.43939585934298	7.58049160492165	7.63302383370624	8.09586645347854	7.50052462776018	7.52858249904385	7.64341319337494	7.677031770481	7.54998361115969	7.67494376819078	7.67414437686744	7.81209075930469	7.84035705920336	7.50019529450904	7.63946656704643	7.71701273954852	7.74259160252992	7.57656017027317	7.71524266250117	7.43051042236254	7.403498004452	7.79947150740784	7.60126667978132	7.71437167803897	7.62946056964229	7.42296718052776	7.6748060470343	7.78684366444476	7.61658053008589
"IPI00003362_HSPA5"	8.06599028923378	8.1992339305369	8.08069862287113	8.580468783951	8.11220269073054	8.62370402741541	7.64370922925146	7.37513299351716	7.75035408876271	8.3451776165427	8.32130838977591	8.59472394640975	8.44667693894051	8.58915620589309	8.41135029250428	6.36421318363156	8.08296479377775	8.12936759572299	8.44641288763886	8.23822179367781	8.30150745703844	8.17163870853082	8.30661800443984	8.18650429849314	8.31737376290253	8.03726709456871	8.38367177382111	8.31552953321385	8.37571846874679	8.67295635750464	8.29561107692388	8.46357946745697	8.5592720678074	8.41903002908526	8.10930850524675	8.18791535464999	8.08714227938381	7.75108655488602	8.43530275228461	8.22980978295254	8.22448126530363	8.35254910091623	8.29620433046336	8.1852871125752	7.57265091525236	8.14961934153315	8.07685881012859	8.28853985067046	8.60391264301064	8.41222527587111	8.35478049883127	7.76098007309782	7.95747798500193	6.71183252701205	8.45545396877863	8.30055200879288	8.03842144564246	8.10744740952361	8.0597526942093
"IPI00003815_ARHGDIA"	7.38219721037745	7.03582982525283	7.38028361809406	6.96838954184707	7.06725688923815	6.79978840006756	7.18582535961296	5.96558265905938	6.72691457522784	6.99115959695952	7.52318698495035	7.2591875829428	7.45037229495525	7.30321766357367	7.70409043241937	7.55254654795566	7.04402990994647	7.39502918853337	7.08951654422482	7.31995922907018	7.2921895926235	7.48824039531403	7.08543329741699	7.26955964003882	7.27376495850478	7.41011896835955	7.41735542290358	6.79874039496694	7.25856545300008	7.19200959265367	7.00851500763145	7.06449542679273	7.19370883239535	7.42923533962666	7.34050360316045	7.25666964868723	6.97921136985658	7.32750197254008	6.89762159385714	7.19206541097929	7.12306724373657	7.29389266705301	7.35370470357217	7.49194969457655	6.50319124268333	7.05304000864275	7.06535560128996	7.27177192803563	7.05407655729051	7.36218077659253	7.41534067253241	7.80010506166806	6.91100837763754	7.20951501454263	7.83974193778089	7.18366835736002	6.86451108105839	7.38410240794852	7.26140562707414
"IPI00003865_HSPA8"	8.30569522891186	8.35428135384973	8.40337793172286	8.29907126002741	8.48472680429866	8.4295746511427	8.33733943938842	7.47463869413439	7.6072834161861	8.49501675874968	8.80761619702188	8.70670071738531	8.58674479224689	8.81493978349136	8.15797024360471	7.05872962075172	8.23666319870341	8.41087841642009	8.16396598295488	8.27494256608369	8.2393245097878	8.35552814230066	8.27863929789074	8.32943856077945	8.31573949960834	8.34555015748774	8.34074147498998	8.33819743340628	8.32786956875663	8.41023719198405	8.26306768222899	8.19290182610957	8.61317560427072	8.56261400462506	8.36651634384754	8.44827335520735	8.17429245510271	8.50309580083778	8.45639640231069	8.29309725569165	8.23832215637555	8.42660884466617	8.20919319571953	8.43836827968794	7.40337793172286	8.32043710368287	8.41780372263988	8.31699717068921	8.20846823026562	8.34584404319262	8.30267718701002	8.57510698470445	8.33709969636168	7.27344113431281	8.30429660301835	8.23663801418185	8.32619243812777	8.40418349821266	8.42099482964396
"IPI00003881_HNRNPF"	7.36229393796423	7.19758376903578	6.54060473274719	6.33025138991791	6.89251199290224	6.92185287980841	6.72965066833592	7.05238609538937	6.88005863552825	7.03702787975578	7.20895167500782	7.12040939455607	7.05865374157237	7.31130874600081	6.90397396175503	6.90816320005555	7.21766815128628	7.06944608388031	7.00825941499127	6.75415714289177	7.20714945320954	7.05076631123304	7.0529631287555	7.02485494830502	6.56949095434878	7.00358976718914	6.99585447987457	7.00483706093831	7.01682449366749	7.14497873802003	7.06254438134646	7.07265421733303	6.73618129389931	7.48802868548294	7.1181323999209	6.47312186329073	6.95275855029047	7.05045709478573	6.79344113297766	7.01038477149838	6.77579242767879	6.93161040636296	6.86724940196004	7.13811314648717	7.11216914800166	7.14656211315756	6.97643710431999	6.88610702293136	6.76970956718522	6.13830269816628	6.08055433898877	7.00034729668536	7.17701676709247	7.04107671971548	6.81437413550319	7.14968088248294	6.88105924204066	7.08246222116863	7.12136284056339
